term_lower	term	confidence	defined_in
'non--commutative geometry'	'Non--commutative Geometry'	medium	QuantumGroupoids
(ab5).	(Ab5).	medium	AbconditionsAb3AndAb5Conditions;GrothendieckCategory
(lie) algebraic methods in quantum chemistry and physics.	(Lie) Algebraic Methods in Quantum Chemistry and Physics.	medium	QuantumGroupoids
(linear) sequence of morphisms	(linear) sequence of morphisms	high	CategoricalSequence
(linearity)	(linearity)	medium	PropertiesOfExpectedValue
(monotonicity)	(monotonicity)	medium	PropertiesOfExpectedValue
(n-1)-supercategory	(n-1)-supercategory	high	Ncategory
(normalization)	(normalization)	medium	PropertiesOfExpectedValue
(quantum logic)	(quantum logic)	medium	QuantumTopos
(variable) categories	(variable) categories	medium	OrganismicSupercategoriesAndSupercomplexSystemsBiodynamics
* bulletin (new series) of the american mathematical society	* Bulletin (New Series) of the American Mathematical Society	medium	IHESOnTheFusionOfMathematicsAndTheoreticalPhysics
*-convolution	*-convolution	high	CategoryOfCalgebras
*-homomorphism	*-homomorphism	high	CategoryOfCalgebras
-isomorphism	-isomorphism	medium	FisomorphismsInCategories
0-cell	0-cell	high	2category
1. the principle of optimal design	1. The Principle of Optimal Design	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
1introduction#thmdefn1	1introduction#Thmdefn1	medium	4Measurement
2-c*-category	2-C*-category	high	2Ccategory
2-categorical composition	2-categorical composition	high	2category
2-category	2-category	high	2category
2-category of double groupoids	2-category of double groupoids	high	2categoryOfDoubleGroupoids
2-category of groupoids	2-category of groupoids	high	2categoryOfDoubleGroupoids
2-morphism	2-morphism	high	2category
2. stochastic maps	2. Stochastic maps	high	2StochasticMaps
2. the principle of relational invariance	2. The Principle of Relational Invariance	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
2.1	2.1	medium	QuantumGroupoids
27:	27:	medium	QuantumGroupoids
2category	2Category	medium	2categoryOfDoubleGroupoids;Supercategory
2category2	2Category2	medium	Supercategory
2stochasticmaps#thmeg1	2stochasticmaps#Thmeg1	medium	3DistributedDynamicalSystems
2stochasticmaps#thmthm2	2stochasticmaps#Thmthm2	medium	4Measurement
2stochasticmaps#thmthm3	2stochasticmaps#Thmthm3	medium	3DistributedDynamicalSystems
3. distributed dynamical systems	3. Distributed dynamical systems	high	3DistributedDynamicalSystems
3distributeddynamicalsystems#thmrem2	3distributeddynamicalsystems#Thmrem2	medium	4Measurement
3distributeddynamicalsystems#thmthm4	3distributeddynamicalsystems#Thmthm4	medium	5Entanglement
4. measurement	4. Measurement	high	4Measurement
4measurement	4measurement	medium	3DistributedDynamicalSystems
4measurement#id2	4measurement#id2	medium	5Entanglement
4measurement#thmrem3	4measurement#Thmrem3	medium	3DistributedDynamicalSystems
4measurement#thmthm5	4measurement#Thmthm5	medium	5Entanglement
4measurement#thmthm6	4measurement#Thmthm6	medium	5Entanglement
4measurement#thmthm8	4measurement#Thmthm8	medium	5Entanglement
5 lemma	5 lemma	high	5lemma
5-lemma	5-lemma	high	5lemma
5. entanglement	5. Entanglement	high	5Entanglement
5lemma	5Lemma	medium	HorseshoeLemma
6. discussion	6. Discussion	high	6Discussion
9-lemma	9-lemma	high	9lemma
= ``the long march towards/across the theory of galois''	= ``The Long March Towards/Across the Theory of Galois''	medium	GrothendieckCategory
[to be done]	[to be done]	medium	PropertiesOfExpectedValue
`$0$-cells'	`$0$-cells'	medium	Ncategory
`\textbf{structure	`\textbf{structure	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
``biological epimorphism"	``Biological Epimorphism"	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
``categorical algebra.''	``Categorical algebra.''	medium	QuantumGroupoids
``categorification'', higher category theory, contemporary mathematics	``Categorification'', Higher Category Theory, Contemporary Mathematics	medium	MathematicalProgramsInQuantumGravity
``essays on life itself	``Essays on Life Itself	medium	RobertRosen
``lie groups and lie algebras"	``Lie Groups and Lie Algebras"	medium	QuantumGroupoids
``lie groups, lie algebras and some of their applications.''	``Lie Groups, Lie Algebras and Some of Their Applications.''	medium	QuantumGroupoids
``life itself"	``Life Itself"	medium	RobertRosen
``non--abelian algebraic topology''	``Non--Abelian Algebraic Topology''	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;Supercategory
``ontological"	``ontological"	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
``sheaves in geometry and logic - a
first introduction to topos theory''	``Sheaves in Geometry and Logic - A
first Introduction to Topos Theory''	medium	QuantumGroupoids
``supercategories''	``Supercategories''	medium	NsupercategoryTheory
``th$\'e$orie structurelle des automats finis."	``Th$\'e$orie structurelle des automats finis."	medium	MVLogicsInTheCategoryOfAutomata
`analogous'	`analogous'	medium	FundamentalComplexityDiagrams
`analytical'	`analytical'	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`categorial'	`categorial'	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
